N1R,"ON, N1R",L8S 4L8,37.191,
L5G,"ON, L5G",L8S 4L8,48.897,
L1W,"ON, L1W",L8S 4L8,107.699,
K4P,"ON, K4P",L8S 4L8,490.578,
K1L,"ON, K1L",L8S 4L8,520.91,
L4W,"ON, L4W",L8S 4L8,54.851,
L7B,"ON, L7B",L8S 4L8,98.939,
L1H,"ON, L1H",L8S 4L8,129.2,
N0R,"ON, N0R",L8S 4L8,300.974,
L6J,"ON, L6J",L8S 4L8,36.619,
L3R,"ON, L3R",L8S 4L8,101.274,
N6E,"ON, N6E",L8S 4L8,122.771,
M1W,"ON, M1W",L8S 4L8,90.18,
K9L,"ON, K9L",L8S 4L8,210.091,
K1V,"ON, K1V",L8S 4L8,502.648,
K1G,"ON, K1G",L8S 4L8,527.401,
K8H,"ON, K8H",L8S 4L8,455.787,
L4A,"ON, L4A",L8S 4L8,123.555,
K0M,"ON, K0M",L8S 4L8,267.329,
L3P,"ON, L3P",L8S 4L8,106.86,
K2T,"ON, K2T",L8S 4L8,451.134,
K4A,"ON, K4A",L8S 4L8,536.65,
N2L,"ON, N2L",L8S 4L8,74.62,
L5B,"ON, L5B",L8S 4L8,49.865,
N8P,"ON, N8P",L8S 4L8,298.407,
M6N,"ON, M6N",L8S 4L8,69.171,
K2G,"ON, K2G",L8S 4L8,503.183,
L4N,"ON, L4N",L8S 4L8,149.33,
M8Z,"ON, M8Z",L8S 4L8,56.791,
L3S,"ON, L3S",L8S 4L8,105.996,
L1B,"ON, L1B",L8S 4L8,150,
L2E,"ON, L2E",L8S 4L8,86.446,
N9B,"ON, N9B",L8S 4L8,305.875,
K9H,"ON, K9H",L8S 4L8,213.457,
N5L,"ON, N5L",L8S 4L8,155.03,
L4S,"ON, L4S",L8S 4L8,104.717,
L4Y,"ON, L4Y",L8S 4L8,53.716,
L1P,"ON, L1P",L8S 4L8,122.728,
L5R,"ON, L5R",L8S 4L8,50.5,
L7L,"ON, L7L",L8S 4L8,21.04,
K9J,"ON, K9J",L8S 4L8,202.554,
M4W,"ON, M4W",L8S 4L8,78.844,
P9A,"ON, P9A",L8S 4L8,1628.338,
N9H,"ON, N9H",L8S 4L8,299.41,
L5K,"ON, L5K",L8S 4L8,41.652,
K8N,"ON, K8N",L8S 4L8,256.089,
K0H,"ON, K0H",L8S 4L8,339.69,
N5X,"ON, N5X",L8S 4L8,132.204,
K6V,"ON, K6V",L8S 4L8,405.341,
P0S,"ON, P0S",L8S 4L8,739,
L0K,"ON, L0K",L8S 4L8,197.873,
L8J,"ON, L8J",L8S 4L8,27.328,
K2A,"ON, K2A",L8S 4L8,509.41,
L5W,"ON, L5W",L8S 4L8,58.552,
M4Y,"ON, M4Y",L8S 4L8,70.66,
L7P,"ON, L7P",L8S 4L8,12.341,
M6J,"ON, M6J",L8S 4L8,65.736,
K7G,"ON, K7G",L8S 4L8,356.08,
L1G,"ON, L1G",L8S 4L8,131.983,
N9C,"ON, N9C",L8S 4L8,305.517,
P6C,"ON, P6C",L8S 4L8,743.894,
K1N,"ON, K1N",L8S 4L8,518.118,
M4G,"ON, M4G",L8S 4L8,79.543,
L6M,"ON, L6M",L8S 4L8,29.132,
L4J,"ON, L4J",L8S 4L8,89.771,
K1W,"ON, K1W",L8S 4L8,531.006,
L1J,"ON, L1J",L8S 4L8,126.07,
N4N,"ON, N4N",L8S 4L8,149.59,
M9C,"ON, M9C",L8S 4L8,57.272,
M2R,"ON, M2R",L8S 4L8,79.906,
N3H,"ON, N3H",L8S 4L8,52.566,
M9B,"ON, M9B",L8S 4L8,57.793,
V8N,"ON, V8N",L8S 4L8,3325,BC
N2B,"ON, N2B",L8S 4L8,66,
N2C,"ON, N2C",L8S 4L8,61.605,
N9V,"ON, N9V",L8S 4L8,318.728,
L8N,"ON, L8N",L8S 4L8,5.496,
L6A,"ON, L6A",L8S 4L8,93.662,
M1K,"ON, M1K",L8S 4L8,94.663,
L7K,"ON, L7K",L8S 4L8,94.929,
M3B,"ON, M3B",L8S 4L8,85.419,
M4X,"ON, M4X",L8S 4L8,71.307,
N9J,"ON, N9J",L8S 4L8,304.344,
N8N,"ON, N8N",L8S 4L8,287.087,
M5T,"ON, M5T",L8S 4L8,67.95,
L2P,"ON, L2P",L8S 4L8,74.9,
L9P,"ON, L9P",L8S 4L8,142.918,
L6P,"ON, L6P",L8S 4L8,77.8,
M4S,"ON, M4S",L8S 4L8,79.974,
L9N,"ON, L9N",L8S 4L8,122.993,
N0B,"ON, N0B",L8S 4L8,65.281,
M1N,"ON, M1N",L8S 4L8,79.093,
N3P,"ON, N3P",L8S 4L8,34.413,
N7X,"ON, N7X",L8S 4L8,218.525,
N0J,"ON, N0J",L8S 4L8,93.401,
L4T,"ON, L4T",L8S 4L8,70.8,
L2H,"ON, L2H",L8S 4L8,85.419,
N1P,"ON, N1P",L8S 4L8,35.753,
L9B,"ON, L9B",L8S 4L8,14.672,
L4G,"ON, L4G",L8S 4L8,119.227,
M9N,"ON, M9N",L8S 4L8,69.301,
L3Y,"ON, L3Y",L8S 4L8,123.68,
L9S,"ON, L9S",L8S 4L8,146.557,
L1X,"ON, L1X",L8S 4L8,108.856,
N7L,"ON, N7L",L8S 4L8,228.793,
L0J,"ON, L0J",L8S 4L8,85.145,
L0B,"ON, L0B",L8S 4L8,165.539,
N7V,"ON, N7V",L8S 4L8,225.401,
L0M,"ON, L0M",L8S 4L8,153.369,
N8M,"ON, N8M",L8S 4L8,289.123,
P0B,"ON, P0B",L8S 4L8,259.359,
N6C,"ON, N6C",L8S 4L8,124.695,
L9M,"ON, L9M",L8S 4L8,203.096,
L2S,"ON, L2S",L8S 4L8,72.9,
K7V,"ON, K7V",L8S 4L8,441.78,
M4A,"ON, M4A",L8S 4L8,112,
N2H,"ON, N2H",L8S 4L8,65.463,
L8M,"ON, L8M",L8S 4L8,8.245,
M2N,"ON, M2N",L8S 4L8,80.095,
M9W,"ON, M9W",L8S 4L8,63.928,
L1N,"ON, L1N",L8S 4L8,122.939,
K6A,"ON, K6A",L8S 4L8,575.904,
L2R,"ON, L2R",L8S 4L8,68.5,
N7W,"ON, N7W",L8S 4L8,219.66,
L5V,"ON, L5V",L8S 4L8,48.809,
P2N,"ON, P2N",L8S 4L8,639.439,
L6H,"ON, L6H",L8S 4L8,35.959,
N4G,"Tillsonburg, ON N4G",L8S 4L8,108.952,
N6G,"ON, N6G",L8S 4L8,141.092,
P4R,"ON, P4R",L8S 4L8,740.482,
M4E,"ON, M4E",L8S 4L8,76.107,
M1C,"ON, M1C",L8S 4L8,102.72,
N9G,"ON, N9G",L8S 4L8,297.078,
M5S,"ON, M5S",L8S 4L8,70.295,
L8P,"ON, L8P",L8S 4L8,3.248,
P0H,"ON, P0H",L8S 4L8,434.477,
N7A,"ON, N7A",L8S 4L8,175.537,
K2C,"ON, K2C",L8S 4L8,513.603,
L8V,"ON, L8V",L8S 4L8,9.795,
P1B,"ON, P1B",L8S 4L8,398.546,
K0K,"ON, K0K",L8S 4L8,273.902,
M6A,"ON, M6A",L8S 4L8,74.86,
L6R,"ON, L6R",L8S 4L8,73.063,
L5H,"ON, L5H",L8S 4L8,46.357,
M3A,"ON, M3A",L8S 4L8,84.442,
N1M,"Fergus ON, N1m",L8S 4L8,75.439,
P8T,"ON, P8T",L8S 4L8,1806.158,
L1Z,"ON, L1Z",L8S 4L8,115.789,
L8H,"ON, L8H",L8S 4L8,28.251,
K0E,"ON, K0E",L8S 4L8,385.085,
N3S,"ON, N3S",L8S 4L8,35.553,
M1S,"ON, M1S",L8S 4L8,92.454,
L4P,"ON, L4P",L8S 4L8,141.741,
L6B,"ON, L6B",L8S 4L8,108.953,
P3P,"Sudbury ON, P3P",L8S 4L8,462.48,
P3Y,"ON, P3Y",L8S 4L8,447.492,
L4M,"ON, L4M",L8S 4L8,154.139,
M1P,"ON, M1P",L8S 4L8,91.207,
P0M,"ON, P0M",L8S 4L8,699.543,
M6E,"ON, M6E",L8S 4L8,75.663,
N5R,"ON, N5R",L8S 4L8,138.978,
M4M,"ON, M4M",L8S 4L8,71.759,
K2S,"ON, K2S",L8S 4L8,446.701,
M2K,"ON, M2K",L8S 4L8,80.391,
N3E,"ON, N3E",L8S 4L8,52.889,
K6H,"ON, K6H",L8S 4L8,503.542,
N3W,"ON, N3W",L8S 4L8,28.402,
M6M,"ON, M6M",L8S 4L8,73.17,
P1A,"ON, P1A",L8S 4L8,393.099,
K8B,"ON, K8B",L8S 4L8,455.796,
K0G,"ON, K0G",L8S 4L8,401.465,
L7S,"ON, L7S",L8S 4L8,17.169,
L0A,"ON, L0A",L8S 4L8,182.823,
L8G,"ON, L8G",L8S 4L8,30.775,
K2M,"Kanata ON, K2M",L8S 4L8,501.155,
L2A,"ON, L2A",L8S 4L8,112.88,
N1H,"ON, N1H",L8S 4L8,51.696,
N4S,"ON, N4S",L8S 4L8,78.074,
N2T,"ON, N2T",L8S 4L8,76.219,
N2P,"ON, N2P",L8S 4L8,59.435,
L5C,"ON, L5C",L8S 4L8,49.547,
N5C,"ON, N5C",L8S 4L8,91.44,
M8W,"ON, M8W",L8S 4L8,53.149,
M5R,"ON, M5R",L8S 4L8,70.068,
L9R,"ON, L9R",L8S 4L8,144.945,
M9A,"ON, M9A",L8S 4L8,61.478,
L7M,"ON, L7M",L8S 4L8,21.165,
N3V,"ON, N3V",L8S 4L8,42.049,
K9A,"ON, K9A",L8S 4L8,186.245,
K7M,"ON, K7M",L8S 4L8,323.122,
N0L,"ON, N0L",L8S 4L8,148.182,
L4X,"ON, L4X",L8S 4L8,53.046,
N1K,"ON, N1K",L8S 4L8,51.736,
L9C,"ON, L9C",L8S 4L8,6.603,
M2P,"ON, M2P",L8S 4L8,79.187,
N9A,"ON, N9A",L8S 4L8,304.056,
N8X,"ON, N8X",L8S 4L8,301.546,
M6P,"ON, M6P",L8S 4L8,63.7,
L6T,"ON, L6T",L8S 4L8,65.837,
L8L,"ON, L8L",L8S 4L8,7.135,
M1E,"ON, M1E",L8S 4L8,100.32,
L2M,"ON, L2M",L8S 4L8,73.9,
L4K,"ON, L4K",L8S 4L8,85.135,
N6P,"ON, N6P",L8S 4L8,132.393,
N9Y,"ON, N9Y",L8S 4L8,293.687,
N6A,"ON, N6A",L8S 4L8,129.213,
L7T,"ON, L7T",L8S 4L8,13.14,
L2G,"ON, L2G",L8S 4L8,89.965,
N2N,"ON, N2N",L8S 4L8,70.053,
L1C,"ON, L1C",L8S 4L8,142.509,
K8V,"ON, K8V",L8S 4L8,238.41,
L6V,"ON, L6V",L8S 4L8,69.392,
K6J,"ON, K6J",L8S 4L8,501.158,
L3Z,"ON, L3Z",L8S 4L8,118.678,
P1L,"ON, P1L",L8S 4L8,238.548,
L0S,"ON, L0S",L8S 4L8,79.807,
K2J,"ON, K2J",L8S 4L8,497.219,
N2R,"ON, N2R",L8S 4L8,68.63,
M6G,"ON, M6G",L8S 4L8,67.3,
